Aalborg,Denmark___+57.09700___+9.85000
FortYukon,AK___+66.50000___-145.00000
FountainValley,CA___+33.70000___-117.96000
Framingham,MA___+42.27330___-71.41500
Frankfort,KY___+38.20000___-84.86170
Frankfurt,Germany___+50.03300___+8.56700
Franklin,NH___+43.41700___-71.66700
Franklin,TN___+35.90000___-86.90000
Frederick,MD___+39.41500___-77.41670
Fredericksburg,VA___+38.33300___-77.50000
Fredericktown,MO___+37.53300___-90.26700
Fredericton,NB___+45.85000___-66.43000
Freehold,NJ___+40.25000___-74.26700
Freeport,Bahamas___+26.55000___-78.70000
Freiburg,Germany___+48.03000___+7.83300
Fremont,CA___+37.53500___-121.95700
Fremont,NE___+41.44000___-96.49500
Fresno,CA___+36.73670___-119.77000
FruitlandPark,FL___+28.86170___-81.91470
Ft.Myers,FL___+26.65100___-81.75300
Ft.Wayne,IN___+41.07250___-85.14050
Ft.Worth,TX___+32.74860___-97.32890
Fukuoka,Japan___+33.58330___+130.45000
Fullerton,CA___+33.87500___-117.92500
Funchal,MadeiraIs.___+32.69200___-16.77300
Furth(Mfr),Germany___+49.48300___+11.98300
Gadsden,AL___+34.01580___-86.01140
Gaillac,France___+43.90000___+1.86670
Gainesville,FL___+29.70000___-82.25000
Gainesville,GA___+34.26700___-83.80000
Gaithersburg,MD___+39.14000___-77.19830
Galena,AK___+64.74110___-156.95100
Gallup,NM___+35.52500___-108.74200
Galveston,TX___+29.30280___-94.79530
Gander,Nfld___+48.93300___-54.56700
Garden_City,KS___+37.96700___-100.86700
Garden_Grove,CA___+33.77500___-117.91300
Garland,TX___+32.90830___-96.63670
Garland,UT___+41.75000___-112.16700
Garrison,ND___+47.63300___-101.40000
Gars_am_Inn,Germany___+48.14047___+12.22100
Gary,IN___+41.60330___-87.33860
Gaspe,PQ___+48.78000___-64.51000
Gassaway,WV___+38.66700___-80.75000
Gastonia,NC___+35.26500___-81.18170
Gdansk,Poland___+54.33330___+18.66670
Geilenkirchen,Germany___+50.96100___+6.03300
Geneva,Switz.___+46.23330___+6.06670
Genoa,Italy___+44.41300___+8.85000
Georgetown,DE___+38.66700___-75.33300
Georgetown,Guyana___+6.48330___-58.26670
Gera,Germany___+51.06700___+13.75000
Gibraltar___+36.15100___-5.34700
Gila_Bend,AZ___+32.98300___-112.68300
Gillette,WY___+44.29330___-105.50200
Glasgow,KY___+37.00000___-85.91700
Glasgow,Scotland___+55.90000___-4.41660
Glendale,AZ___+33.53830___-112.18200
Glendale,CA___+34.14170___-118.24700
Glendora,CA___+34.11670___-117.85000
Glenns_Ferry,ID___+42.96700___-115.35000
Glens_Falls,NY___+43.33300___-73.66700
Glens_Falls,NY___+43.80000___-74.08330
Glenwood_Springs,CO___+39.58300___-107.33300
Glenwood,MN___+45.65000___-95.38300
Godthab,Greenland___+64.20000___-51.68000
Goldfield,NV___+37.70000___-117.25000
Goldsboro,NC___+35.38300___-77.98300
Goldstone,CA___+35.35000___-116.88300
Goose_Bay,Nfld.___+53.33000___-60.42000
Goose_Creek,SC___+32.77640___-79.93140
Gorham,ME___+43.66670___-70.46670
Granada_Hills,CA___+34.18330___-118.50000
Grand_Cayman_Island___+19.30000___-81.36670
Grand_Forks,ND___+47.92000___-97.04500
Grand_Island,NE___+40.92170___-98.35330
Grand_Junction,CO___+39.08300___-108.58300
Grand_Prairie,TX___+32.74830___-96.99500
Grand_Rapids,MI___+42.96750___-85.67030
Grand_Turk_Island___+21.45000___-71.15000
Granger,WY___+41.61700___-109.96700
Grangeville,ID___+45.93300___-116.13300
Granite_Falls,MN___+44.76700___-95.56700
Grants_Pass,OR___+42.43300___-123.33300
Grass_Valley,CA___+39.15000___-121.03300
Great_Falls,MT___+47.50170___-111.28500
Great_Falls,SC___+34.53300___-80.88300
Greeley,CO___+40.41830___-104.69300
Green_Bay,WI___+44.51330___-88.01390
Green_River,UT___+39.00000___-110.08300
Green_River,WY___+41.52670___-109.46800
Greenbelt,MD___+39.00010___+76.85420
Greensboro,NC___+36.07140___-79.79030
Greenville,ME___+45.43300___-69.58300
Greenville,MS___+33.40670___-91.06000
Greenville,SC___+34.84720___-82.40030
Greenville,TN___+36.13300___-82.83300
Greenwich_Obs,England___+51.46670___+0.00000
Greenwich,CT___+41.02830___-73.62500
Greenwood,MS___+33.51670___-90.18170
Greenwood,SC___+34.19330___-82.16500
Grenoble,France___+45.36000___+5.32000
Gresham,OR___+45.50000___-122.43000
Grissom_AFB,IN___+40.65000___-86.15000
Groton,SD___+45.41700___-98.06700
Groveton,NH___+44.58300___-71.50000
Guantanamo_Bay,Cuba___+19.90000___-75.20000
Guatemala_City___+14.58300___-90.53300
Guayaquil,Ecuador___-2.26660___-79.88320
Guelph,ON___+43.57000___-80.18000
Guernsey___+49.43000___-2.60300
Gulfport,MS___+30.36780___-89.09330
Gulkana,AK___+62.10000___-145.50000
Gutersloh,Germany___+51.92100___+8.30400
Guthrie,OK___+35.86700___-97.43300
Hagerstown,MD___+39.64500___-77.72000
Haiku,HI___+20.98330___-156.28300
Hailey,ID___+43.51700___-114.31700
Haines,AK___+59.25000___-135.46000
Halifax,NS___+44.67000___-63.58000
Hamburg,Germany___+53.56670___+10.03330
Hamden,CT___+41.38500___-72.90330
Hamilton,OH___+39.39970___-84.56300
Hamilton,ON___+43.25000___-79.85000
Hammond,IN___+41.63000___-87.50500
Hampton,VA___+37.02500___-76.34170
Hana,HI___+20.71700___-155.98300
Hancock,MI___+47.13889___-88.62080
Hankinson,ND___+46.06700___-96.90000
Hannah,ND___+48.96700___-98.70000
Hannibal,MO___+39.70000___-91.36700
Hannover,Germany___+52.45000___+9.70000
Hao_AB,Fr._Polynesia___-17.99990___-141.00000
Harper_Woods,MI___+42.40000___-82.91700
Harpers_Ferry,WV___+39.33300___-77.75000
Harrington,DE___+38.91700___-75.58300
Harrisburg,PA___+40.26190___-76.88300
Harrisburg,SD___+43.41670___-96.68330
Harrison,AR___+36.21700___-93.10000
Harrisonburg,VA___+38.50000___-78.83300
Hartford,CT___+41.77000___-72.68030
Harvey,ND___+47.76700___-99.91700
Hastings,NE___+40.59000___-98.38670
Hat_Yai,Thailand___+6.93670___+100.40000
Hattiesburg,MS___+31.32670___-89.28830
Hauula,HI___+21.61700___-157.75000
Havana,Cuba___+23.13330___-82.38320
Havre,MT___+48.55000___-109.68500
Hawthorne,CA___+33.91670___-118.35200
Hawthorne,NV___+38.55000___-118.65000
Hayward,CA___+37.66500___-122.07700
Hazard,KY___+37.21700___-83.16700
Helena,MT___+46.59250___-112.04000
Helgoland,Germany___+54.18500___+7.90500
Helsinki,Finland___+60.16660___+24.88330
Henderson,KY___+37.83670___-87.58670
Henderson,NV___+36.03670___-114.98000
Hendersonville,TN___+36.30500___-86.62000
Herndon,VA___+38.89750___-77.00920
Hialeah,FL___+25.82830___-80.28330
Hickory,NC___+35.71700___-81.35000
High_Point,NC___+35.95170___-80.00500
Highland_Lakes,NJ___+41.16110___-74.45360
Highmore,SD___+44.50000___-99.43300
Hill_City,MN___+46.96700___-93.63300
Hillsboro,ND___+47.38300___-97.08300
Hillsboro,OR___+45.52000___-122.98700
Hilo,HI___+19.72500___-155.09000
Hinton,WV___+37.66700___-80.91700
Hobbs,NM___+32.70000___-103.13200
Holbrook,AZ___+34.91700___-110.25000
Hollis_Hills,NY___+40.73200___-73.76500
Holliston,MA___+42.35000___-71.05000
Holly_Springs,MS___+34.75000___-89.46700
Hollywood,CA___+34.12500___-118.33700
Hollywood,FL___+26.01000___-80.15000
Holyoke,MA___+42.20810___-72.61000
Homer,AK___+59.65000___-151.52000
Hong_Kong___+21.75000___+115.00000
Honiara,Guadalcanal___-9.24990___+159.75000
Honington,England___+52.33300___+0.76700
Honolulu,HI___+21.30610___-157.86000
Hooker,OK___+36.81700___-101.21700
Hooper_Bay,AK___+61.53300___-166.03300
Hopkinsville,KY___+36.86170___-87.47170
Hot_Springs_Nat_Pk,AR___+34.50830___-93.05330
Houma,LA___+29.60000___-90.71700
Houston,TX___+29.75720___-95.36030
Humboldt,NE___+40.16700___-95.95000
Huntington_Beach,CA___+33.66830___-118.08300
Huntington_Station,NY___+40.84300___-73.40100
Huntington,WV___+38.42000___-82.44250
Huntsville,AL___+34.73170___-86.58670
Hurley,WI___+46.43300___-90.18300
Huron,SD___+44.36000___-98.21830
Hutchinson,KS___+38.08170___-97.92830
Hutchinson,MN___+44.88300___-94.38300
Hyltebruk,Sweden___+57.00000___+13.10000
Idaho_Falls,ID___+43.49170___-112.03300
Incirlik,Turkey___+37.00130___+35.42500
Independence,KS___+37.23300___-95.70000
Independence,MO___+39.09330___-94.41670
Indianapolis,IN___+39.76860___-86.16280
Ine,Marshall_Is.___+7.01667___+171.48330
Inglewood,CA___+33.96000___-118.35000
Innsbruck,Austria___+47.26000___+11.34000
Inuvik,NWT___+68.32000___-133.50000
Invercargill,New_Zeal___-46.41670___+168.31670
Iowa_City,IA___+41.66030___-91.53140
Ipswich,Australia___-27.63330___+152.71670
Iqaluit,NWT___+63.76000___-68.55000
Iron_River,MI___+46.15000___-88.65000
Irvine,CA___+33.67500___-117.76000
Irving,TX___+32.81330___-96.93670
Irvington,NJ___+40.72670___-74.22500
Islamabad,Pakistan___+33.61670___+73.10000
Isle_of_Man___+54.08000___-4.62800
Istanbul,Turkey___+41.03330___+29.00000
Istrana,Italy___+45.73700___+12.13400
Jackson,MI___+42.24530___-84.40610
Jackson,MS___+32.29890___-90.18500
Jackson,TN___+35.61670___-88.81330
Jacksonville,AR___+34.86500___-92.11170
Jacksonville,FL___+30.32890___-81.66170
Jakarta,Indonesia___-6.15000___+106.85000
Jaluit,Marshall_Is.___+5.90667___+169.64170
Jamestown,ND___+46.90500___-98.70500
Janesville,WI___+42.68170___-89.02000
Janesville,WI___+42.68170___-89.02000
Jasper,AB___+53.00000___-118.05000
Jatiluhur,Indonesia___-6.52130___+107.00000
Jeddah,Saudia_Arabia___+21.50000___+39.20000
Jefferson_City,MO___+38.51670___-92.21670
Jensen_Beach,FL___+27.25000___-80.25000
Jersey_City,NJ___+40.73050___-74.06560
Jerusalem,Israel___+31.76670___+35.23330
Johannesburg,S_Africa___-26.13330___+27.90000
Johnson_City,TN___+36.31830___-82.35330
Johnston_Atoll___+16.73330___-169.53300
Johnstown,PA___+40.32640___-78.91750
Joliet,IL___+41.52670___-88.08000
Jonesboro,AR___+35.83670___-90.70670
Joplin,MO___+37.09330___-94.51170
Julian,CA___+33.00000___-116.58000
Juneau,AK___+58.30330___-134.40800
Kabul,Afghanistan___+34.56700___+69.21700
Kaena_Point,HI___+21.50000___-158.20000
Kahului,HI___+20.88300___-156.46700
Kailua_Kona,HI___+19.81700___-155.98300
Kalamazoo,MI___+42.29140___-85.58720
Kalapana,HI___+19.41700___-155.00000
Kalaupapa,HI___+21.21361___-156.97800
Kalispell,MT___+48.19500___-114.31300
Kamloops,BC___+50.70000___-120.45000
Kamuela,HI___+20.01700___-155.66700
Kanab,UT___+37.00000___-112.50000
Kaneohe_Bay,HI___+21.45500___-157.75600
Kankakee,IL___+41.11700___-87.88300
Kannapolis,NC___+35.50000___-80.63300
Kano,Nigeria___+12.05000___+8.52500
Kansas_City,KS___+39.11780___-94.64000
Kansas_City,MO___+39.08220___-94.58890
Kapaa,HI___+22.10000___-159.33300
Kapalua,HI___+20.96610___-156.67700
Kapuskasing,ON___+49.42000___-82.50000
Karachi,Pakistan___+24.90000___+67.15000
Kassel,Germany___+51.32400___+9.37200
Kathmandu,Nepal___+27.81670___+85.35000
Kaunakakai,HI___+21.10000___-156.98300
Keahole,HI___+19.73560___-156.04900
Kearney,NE___+40.69830___-99.08330
Keene,NH___+42.93330___-71.28000
Keflavik,Iceland___+64.00000___-22.61700
Kekaha,HI___+21.95000___-159.70000
Kelso,WA___+46.14861___-122.88100
Kenai,AK___+60.55000___-151.26700
Kennebunk,ME___+43.40000___-70.55000
Kenner,LA___+29.98330___-90.24170
Kenora,ON___+49.80000___-94.35000
Kenosha,WI___+42.59530___-87.83640
Ketchikan,AK___+55.34170___-131.64700
Kettering,OH___+39.68670___-84.17000
Khania,Greece___+35.53670___+24.15000
Khartoum,Sudan___+15.56670___+32.60000
Kiel,Germany___+54.31670___+10.13330
Kili,Marshall_Is.___+5.65000___+169.11670
Kimball,NE___+41.23300___-103.68300
King_George,VA___+38.20000___-77.02000
King_Salmon,AK___+58.68000___-156.65000
Kingman,AZ___+35.16700___-114.08300
Kings_Beach,Australia___-26.80000___+153.10000
Kingsport,TN___+36.54500___-82.54330
Kingston,Jamaica___+18.00000___-76.74990
Kingston,ON___+44.22000___-76.60000
Kinshasa,Zaire___-4.38300___+15.45000
Kissimmee,FL___+28.28300___-81.41700
Kit_Carson,CO___+38.76700___-102.80000
Kitchener,ON___+43.25000___-80.33000
Klamath_Falls,OR___+42.21700___-121.81700
Knightdale,NC___+35.79670___-78.43920
Knoxville,TN___+35.96080___-83.91860
Kodiak,AK___+57.78830___-152.40300
Kohala,HI___+20.00440___-155.67100
Koko_Head,HI___+21.26830___-157.70600
Kokomo,IN___+40.50000___-86.33300
Koln/Bonn_AB,Germany___+50.83670___+7.15000
Koloa,HI___+21.89167___-159.45000
Kona,HI___+19.65750___-156.02800
Korat,Thailand___+14.93670___+102.08330
Kosrae,Micronesia___+5.36750___+162.97640
Kota_Kinabalu,Malaysi___+5.93670___+116.05000
Kotzebue,AK___+66.90000___-162.60000
Kuala_Lumpur,Malaysia___+3.13330___+101.70000
Kuching,Malaysia___+1.48670___+110.33330
Kure_Island___+28.38330___-178.30000
Kuwait_City___+29.06670___+47.98330
Kwajalein_Atoll___+9.00000___+167.60000
Kyoto,Japan___+35.00000___+135.76670
L._Taghkanic_St._Pk.___+42.05000___-73.75000
La_Crosse,WI___+43.80000___-91.24500
La_Grande,OR___+45.33300___-118.10000
La_Grange,GA___+33.01700___-85.00000
La_Mesa,CA___+32.76830___-117.04200
La_Paz,Bolivia___-16.51700___-68.18300
La_Rochelle,France___+46.16670___-1.14990
La_Verne,CA___+34.08300___-117.78300
Laconia,NH___+43.52670___-71.47000
Lafayette,IN___+40.41970___-86.89420
Lafayette,LA___+30.22500___-92.02000
Lagos,Nigeria___+6.58300___+3.03300
Lahore,Pakistan___+32.00000___+74.30000
Lahr,Germany___+48.37000___+7.82600
Lajes,Azores___+38.77000___-27.10000
Lake_Charles,LA___+30.22830___-93.21670
Lake_City,FL___+30.15000___-82.66700
Lake_Oswego,OR___+45.41700___-122.66700
Lake_Villa,IL___+42.33000___-88.07780
Lake_Village,AR___+33.33300___-91.28300
Lakeland,FL___+28.00070___-81.56040
Lakewood,CA___+33.95000___-118.13700
Lakewood,CO___+39.74000___-105.07800
Lakewood,CO___+39.74000___-105.07800
Lakewood,OH___+41.48670___-81.80330
Lakota,ND___+48.06700___-98.35000
Lamar,CO___+38.06700___-102.73300
Lanai_City,HI___+20.83300___-156.93300
Lancaster,NH___+44.41700___-71.50000
Lancaster,PA___+40.04030___-76.30800
Lander,WY___+42.83500___-108.73300
Lansing,MI___+42.73360___-84.55420
LaPeer,MI___+43.05970___-83.28530
Laramie,WY___+41.31170___-105.58500
Laredo,TX___+27.50610___-99.50830
Largo,FL___+27.91830___-82.79000
Las_Cruces,NM___+32.31170___-106.77800
Las_Palmas,Canary_Is.___+27.93300___-15.38290
Las_Vegas,NV___+36.17220___-115.14400
Latham,Australia___-35.35000___+149.17000
Laurel,DE___+38.50000___-75.66700
Laurel,MD___+39.10000___-76.85000
Laurel,MS___+31.68830___-89.13330
Laval,PQ___+45.49900___-73.60400
Lawrence,KS___+38.96330___-95.23830
Lawrence,MA___+42.70440___-71.16890
Lawton,OK___+34.61170___-98.41170
Layton,UT___+41.06170___-111.96300
Le_Havre,France___+49.51670___+0.11670
Learmonth,Australia___-22.23670___+114.08330
Leavenworth,KS___+39.31170___-94.91330
Leavenworth,WA___+47.58300___-120.65000
Lebanon,KY___+37.53300___-85.25000
Lebanon,MO___+37.66700___-92.71700
Lebanon,NH___+43.66700___-72.25000
Lechfeld_AFB,BY,Germ___+48.18300___+10.84000
Leck,Germany___+54.78900___+8.94200
Leeds,England___+53.80000___-1.54990
Leipzig,Germany___+51.40900___+12.22400
Lemmon,SD___+45.91700___-102.16700
Leningrad,Russia___+59.95000___+30.33330
Lethbridge,AB___+49.62000___-112.78000
Lewes,DE___+38.75000___-75.16700
Lewisburg,WV___+37.83300___-80.33300
Lewiston,ID___+46.41170___-117.02000
Lewiston,ME___+44.09670___-70.21830
Lewiston,NY___+43.16917___-79.00170
Lewistown,MT___+47.08300___-109.41700
Lexington,KY___+38.04720___-84.49610
Lhasa,Tibet___+29.68330___+91.20000
Libreville,Gabon___+0.60000___+9.30000
Lihue,HI___+21.98000___-159.37500
Lima,OH___+40.74300___-84.10550
Lima,Peru___-12.09990___-76.91660
Lincoln_Muni,NE___+40.85080___-96.75890
Lincoln,KS___+39.03300___-98.13300
Lincoln,ME___+45.38300___-68.51700
Lincoln,NE___+40.81640___-96.70420
Lindenhurst,NY___+40.69720___-73.35690
Linz,Austria___+48.23330___+14.19000
Lisbon,ND___+46.35000___-97.71700
Lisbon,Portugal___+38.70000___-9.08340
Little_Rock,AR___+34.74500___-92.27690
Littleton,NH___+44.25000___-71.75000
Liverpool,England___+53.41670___-2.86660
Livingston,AL___+32.58300___-88.15000
Livingston,MT___+45.66330___-110.56300
Livonia,MI___+42.38330___-83.37500
Lockwood_Valley,CA___+34.44590___-119.05300
Logan,UT___+41.74000___-111.82800
Lolo,MT___+46.75000___-114.08300
Lompoc,CA___+34.68000___-120.45000
London,England___+51.50000___-0.11670
London,ON___+43.00000___-81.25000
Long_Beach,CA___+33.77060___-118.18800
Longview,TX___+32.49170___-94.73330
Longview,WA___+46.10550___-123.00600
Lorain,OH___+41.46800___-82.18030
Lordsburg,NM___+32.33300___-108.75000
Los_Alamos,NM___+35.88300___-106.33300
Los_Altos_Hills,CA___+37.34398___-122.12500
Los_Angeles,CA___+34.05420___-118.24100
Louisville,GA___+32.98640___-82.38580
Louisville,KY___+38.24640___-85.76360
Louisville,KY___+38.24639___-85.76360
Louisville,KY___+38.25000___-85.76670
Loveland,CO___+40.21000___-105.06000
Lovelock,NV___+40.16700___-118.61700
Lowell,MA___+42.64030___-71.32050
Lubbock,TX___+33.58470___-101.84300
Ludwigshafen,Germany___+49.48500___+8.38300
Lusaka,Zambia___-15.33300___+28.45000
Luxembourg_City___+49.61700___+6.20000
Lynchburg,VA___+37.41500___-79.14330
Lynden,WA___+48.93300___-122.45000
Lynn_Haven,FL___+30.24750___-85.67190
Lynn,MA___+42.46330___-70.94830
Lyon,France___+45.73330___+4.86670
Macao___+22.00000___+113.00000
Mackay,ID___+43.91700___-113.63300
Macon,GA___+32.83670___-83.62670
Madelia,MN___+44.05000___-94.38300
Madison,AL___+34.69180___-86.76140
Madison,SD___+44.00670___-97.11330
Madison,WI___+43.06667___-89.36670
Madison,WI___+43.07300___-89.38190
Madras,India___+13.00000___+80.18300
Madrid,Spain___+40.43330___-3.70000
Magdalena,NM___+34.16700___-107.75000
Magnolia,AR___+33.26250___-93.23470
Maiquetia,Venezuela___+10.60000___-66.98330
Majuro,Marshall_Is.___+7.06333___+171.26970
Malden,MA___+42.42330___-71.06670
Male,Maldive_Is.___+4.00000___+73.00000
Maloelap,Marshall_Is.___+8.70830___+171.23330
Malone,NY___+44.83300___-74.33300
Malta___+35.86700___+14.48300
Managua,Nicaragua___+12.16670___-86.26660
Manaus,Brazil___-3.03330___-60.05000
Manchester,CT___+41.78330___-72.52330
Manchester,England___+53.46670___-2.23320
Manchester,NH___+42.99110___-71.46140
Mandalay,Myanmar___+22.00000___+96.13330
Mandan,ND___+46.82670___-100.89500
Mangum,OK___+34.90000___-99.51700
Manhattan_Beach,CA___+33.89742___-118.39600
Manhattan_Beach,CA___+33.87200___-118.39800
Manhattan,KS___+39.18330___-96.57500
Manila,Philippines___+14.61670___+121.00000
Manitowoc,WI___+44.08300___-87.70000
Mannheim,Germany___+49.47100___+8.50000
Mansfield,OH___+40.75670___-82.51670
Manton,CA___+40.45500___-121.77300
Mantorville,MN___+44.05000___-92.45000
Marietta,GA___+33.95000___-84.54670
Marion,VA___+36.80000___-81.55000
Marlton,NJ___+39.88300___-74.91700
Marquette,MI___+46.53300___-87.41700
Marseille,France___+43.30000___+5.41670
Marseille,France___+43.30000___+5.41670
Marshall,TX___+32.55000___-94.38330
Martinsburg,WV___+39.50000___-78.00000
Martinsville,VA___+36.66700___-79.88300
Mashpee,MA___+42.50220___-70.51280
Mason_City,IA___+43.13300___-93.23300
Mauldin,SC___+34.79800___-82.29900
Mayaguez,PR___+18.25000___-67.15000
Maysville,KY___+38.58300___-83.75000
Mc_Alester,OK___+34.91700___-95.75000
Mc_Cook,NE___+40.21700___-100.61700
Mc_Gill,NV___+39.41700___-114.78300
Mc_Nary,LA___+30.96700___-92.53300
McAllen,TX___+26.20330___-98.23000
McAllen,TX___+26.20330___-98.23000
McGrath,AK___+62.90000___-155.60000
McKeesport,PA___+40.35000___-79.85000
McNary,AZ___+34.16700___-109.91700
Medford,MA___+42.41830___-71.10670
Medford,OR___+42.32330___-122.86700
Medicine_Hat,AB___+50.03000___-110.73000
Melbourne,Australia___-37.86660___+145.13330
Melbourne,FL___+28.08300___-80.61700
Melksham,England___+51.22000___+2.08000
Melrose_Park,IL___+41.88000___-87.64000
Memphis,TN___+35.14610___-90.05360
Mena,AR___+34.58300___-94.15000
Meredith,NH___+43.58300___-71.58300
Meriden,CT___+41.53500___-72.79170
Meridian,MS___+32.36670___-88.70000
Meridianville,AL___+34.76670___-86.55000
Merrimack,NH___+42.81830___-70.81170
Merritt_Island,FL___+28.38000___-80.70000
Mesa,AZ___+33.41500___-111.82800
Mesquite,TX___+32.76500___-96.59670
Metairie,LA___+30.00000___-90.18300
Mexico_City,Mexico___+19.46670___-99.14990
Mexico,MO___+39.16670___-91.83330
Miami_Beach,FL___+25.78830___-80.13000
Miami,FL___+25.77690___-80.19220
Midas,NV___+41.25000___-116.83300
Middlebury,VT___+44.00000___-73.16700
Middletown,DE___+39.50000___-75.66700
Midland,TX___+31.99500___-102.07800
Midway_Island___+28.20000___-177.38300
Midwest_City,OK___+35.45000___-97.39170
Milan,Italy___+45.48330___+9.20000
Milbank,SD___+45.21700___-96.63300
Milford,CT___+41.22500___-73.06000
Milford,DE___+38.91700___-75.41700
Milford,NH___+42.81820___-71.72090
Milford,UT___+38.33300___-113.08300
Mili,Marshall_Is.___+6.08330___+171.73330
Milledgeville,GA___+33.08300___-83.25000
Miller,SD___+44.51700___-99.00000
Millinocket,ME___+45.66700___-68.73300
Millville,NJ___+39.36830___-75.07490
Milpitas,CA___+37.37670___-122.03300
Milwaukee,WI___+43.03860___-87.90420
Mine_Hill,NJ___+40.87500___-74.61300
Minneapolis,MN___+44.98250___-93.26190
Minnetonka,MN___+44.94000___-93.44330
Minot,ND___+48.23830___-101.29700
Miquelon_Is.___+47.10000___-56.40000
Miramar_NAS,CA___+32.86670___-117.15000
Miramar,FL___+26.01000___-80.15000
Mishawaka,IN___+41.71280___-86.18460
Mississauga,ON___+43.59000___-79.46000
Missoula,MT___+46.86170___-114.00800
Mitchell,SD___+43.54330___-98.02500
Mobile,AL___+30.69330___-88.04250
Mobridge,SD___+45.53300___-100.43300
Modesto,CA___+37.64330___-121.00200
Moenkopi,AZ___+36.11700___-111.21700
Moline,IL___+41.50860___-90.51360
Molokai,HI___+21.15611___-157.09900
Monaco___+43.71670___+7.78330
Moncton,NB___+46.11000___-64.67000
Monroe,LA___+32.50000___-92.11670
Monrovia,Liberia___+6.25000___-10.35000
Mont-Joli,PQ___+48.60000___-68.22000
Montebello,CA___+34.00000___-118.10000
Montego_Bay,Jamaica___+18.50000___-77.91670
Monterey_Park,CA___+34.06170___-118.12700
Monterey,CA___+36.60000___-121.88300
Montevideo,Uruguay___-34.83320___-56.16660
Montgomery,AL___+32.37580___-86.30860
Monticello,IN___+40.08300___-88.58300
Monticello,ME___+46.31700___-67.88300
Monticello,UT___+37.91700___-109.41700
Montour_Falls,NY___+42.34000___-76.79000
Montpelier,IN___+40.58300___-85.33300
Montpelier,VT___+44.26000___-72.57800
Montpellier,France___+43.63330___+3.88330
Montreal,PQ___+45.50000___-73.58000
Moore,OK___+35.33670___-97.48830
Moose_Jaw,Sask.___+50.37000___-105.53000
Morehead,KY___+38.16700___-83.41700
Morgan_City,LA___+29.69830___-91.20670
Morgantown,WV___+39.63170___-79.95330
Moron_AB,Spain___+37.18330___-5.61330
Morristown,NJ___+40.80000___-74.48300
Morristown,TN___+36.16700___-83.30000
Morrow,GA___+33.59000___-84.32800
Moscow,ID___+46.73330___-117.00000
Moscow,Russia___+55.75000___+37.61670
Moses_Lake,WA___+47.13300___-119.25000
Mount_Erebus,Antarcti___-77.45700___+167.08000
Mount_Hopkins,AZ___+31.68880___-110.88400
Mount_Vernon,NY___+40.91000___-73.82500
Mountain_Brook,AL___+33.49830___-86.75330
Mountain_Home_AFB,ID___+43.05000___-115.86700
Mountain_View,CA___+37.38830___-122.08000
Mountain_View,MO___+36.98300___-91.76700
Muncie,IN___+40.19110___-85.38780
Muncy,PA___+41.24220___-75.88800
Munich,Germany___+48.13330___+11.58330
Murfreesboro,TN___+35.84830___-86.39170
Murray,UT___+40.66000___-111.88700
Muskegon,MI___+43.25000___-86.33300
Muskogee,OK___+35.74500___-95.36670
Myrtle_Beach,SC___+33.70000___-78.88300
N'djamina,Chad___+12.14000___+15.04000
N._Bellmore,NY___+40.69240___-73.54870
N._Cape_May,NJ___+39.00000___-74.56000
N._Charleston,SC___+32.88500___-80.00000
N._Hollywood,CA___+34.13330___-118.41700
N._Las_Vegas,NV___+36.20330___-115.11200
N._Little_Rock,AR___+34.75500___-92.26670
Naalehu,HI___+19.00000___-155.58300
Nagasaki,Japan___+32.91670___+129.91670
Nagoya,Japan___+35.25000___+136.91670
Nagpur,India___+21.08330___+79.05000
Nairobi,Kenya___-1.28320___+36.81670
Namorik,Marshall_Is.___+5.63167___+168.12500
Nampa,ID___+43.57330___-116.56200
Nandi,Fiji___-17.75000___+177.45000
Napa,CA___+38.30000___-122.29000
Naperville,IL___+41.75000___-88.16670
Naples,FL___+26.11700___-81.76700
Naples,Italy___+40.61670___+14.20000
Nashua,NH___+42.78300___-71.38300
Nashville,TN___+36.15920___-86.78190
Nassau,Bahamas___+25.05000___-77.46700
Natal,Brazil___-5.30000___-35.80000
Natchez,MS___+31.56330___-91.39170
Needles,CA___+34.85000___-114.65000
Nellis_AFB,NV___+36.28800___-115.11900
Nenana,AK___+64.57000___-149.07000
Neponsit,NY___+43.56700___-73.86700
Nevada,MO___+37.81700___-94.35000
New_Albany,IN___+38.28300___-85.81700
New_Bedford,MA___+41.63690___-70.92810
New_Britian,CT___+41.66890___-72.78310
New_Brunswick,NJ___+40.48300___-74.45000
New_Carrollton,MD___+38.92000___-77.06750
New_Castle,Australia___-32.80000___+151.83330
New_Castle,DE___+39.66330___-75.56170
New_Castle,IN___+39.91700___-85.41700
New_Castle,PA___+41.00000___-80.41700
New_Delhi,India___+28.90000___+77.21670
New_Hampton,IA___+43.05000___-92.33300
New_Hartford,CT___+41.87500___-73.04170
New_Haven,CT___+41.30690___-72.92500
New_Iberia,LA___+30.01170___-91.82330
New_London,CT___+41.33300___-72.08300
New_Meadows,ID___+44.96700___-116.33300
New_Orleans,LA___+29.94800___-90.06940
New_Rochelle,NY___+40.90830___-73.78170
New_Rockford,ND___+47.66700___-99.13300
New_Washoe_City,CA___+39.31360___-119.78600
New_York,NY___+40.75170___-73.99420
Newark,DE___+39.68330___-75.75830
Newark,NJ___+40.73720___-74.17190
Newcastle,England___+53.01670___-2.23320
Newell,SD___+44.71700___-103.43300
